,id,hemisphere,structure
0,1,L,cortex
1,2,L,cortex
2,3,L,cortex
3,4,L,cortex
4,5,L,cortex
5,6,L,cortex
6,7,L,cortex
7,8,L,cortex
8,9,L,cortex
9,10,L,cortex
10,11,L,cortex
11,12,L,cortex
12,13,L,cortex
13,14,L,cortex
14,15,L,cortex
15,16,L,cortex
16,17,L,cortex
17,18,L,cortex
18,19,L,cortex
19,20,L,cortex
20,21,L,cortex
21,22,L,cortex
22,23,L,cortex
23,24,L,cortex
24,25,L,cortex
25,26,L,cortex
26,27,L,cortex
27,28,L,cortex
28,29,L,cortex
29,30,L,cortex
30,31,L,cortex
31,32,L,cortex
32,33,L,cortex
33,34,L,cortex
34,35,L,cortex
35,36,L,cortex
36,37,L,cortex
37,38,L,cortex
38,39,L,cortex
39,40,L,cortex
40,41,L,cortex
41,42,L,cortex
42,43,L,cortex
43,44,L,cortex
44,45,L,cortex
45,46,L,cortex
46,47,L,cortex
47,48,L,cortex
48,49,L,cortex
49,50,L,cortex
50,51,L,cortex
51,52,L,cortex
52,53,L,cortex
53,54,L,cortex
54,55,L,cortex
55,56,L,cortex
56,57,L,cortex
57,58,L,cortex
58,59,L,cortex
59,60,L,cortex
60,61,L,cortex
61,62,L,cortex
62,63,L,cortex
63,64,L,cortex
64,65,L,cortex
65,66,L,cortex
66,67,L,cortex
67,68,L,cortex
68,69,L,cortex
69,70,L,cortex
70,71,L,cortex
71,72,L,cortex
72,73,L,cortex
73,74,L,cortex
74,75,L,cortex
75,76,L,cortex
76,77,L,cortex
77,78,L,cortex
78,79,L,cortex
79,80,L,cortex
80,81,L,cortex
81,82,L,cortex
82,83,L,cortex
83,84,L,cortex
84,85,L,cortex
85,86,L,cortex
86,87,L,cortex
87,88,L,cortex
88,89,L,cortex
89,90,L,cortex
90,91,L,cortex
91,92,L,cortex
92,93,L,cortex
93,94,L,cortex
94,95,L,cortex
95,96,L,cortex
96,97,L,cortex
97,98,L,cortex
98,99,L,cortex
99,100,L,cortex
100,101,L,cortex
101,102,L,cortex
102,103,L,cortex
103,104,L,cortex
104,105,L,cortex
105,106,L,cortex
106,107,L,cortex
107,108,L,cortex
108,109,L,cortex
109,110,L,cortex
110,111,L,cortex
111,112,L,cortex
112,113,L,cortex
113,114,L,cortex
114,115,L,cortex
115,116,L,cortex
116,117,L,cortex
117,118,L,cortex
118,119,L,cortex
119,120,L,cortex
120,121,L,cortex
121,122,L,cortex
122,123,L,cortex
123,124,L,cortex
124,125,L,cortex
125,126,L,cortex
126,127,L,cortex
127,128,L,cortex
128,129,L,cortex
129,130,L,cortex
130,131,L,cortex
131,132,L,cortex
132,133,L,cortex
133,134,L,cortex
134,135,L,cortex
135,136,L,cortex
136,137,L,cortex
137,138,L,cortex
138,139,L,cortex
139,140,L,cortex
140,141,L,cortex
141,142,L,cortex
142,143,L,cortex
